iter	Passed	Remaining
403	11132	2645
404	11160	2617
405	11186	2590
406	11214	2562
407	11240	2534
408	11273	2508
409	11301	2480
410	11329	2453
411	11355	2425
412	11382	2397
413	11409	2370
414	11436	2342
415	11463	2314
416	11489	2286
417	11515	2259
418	11541	2231
419	11568	2203
420	11596	2175
421	11621	2148
422	11648	2120
423	11676	2092
424	11701	2064
425	11728	2037
426	11755	2009
427	11783	1982
428	11811	1954
429	11837	1927
430	11864	1899
431	11891	1871
432	11917	1844
433	11944	1816
434	11973	1789
435	12000	1761
436	12027	1733
437	12060	1707
438	12086	1679
439	12127	1653
440	12153	1626
441	12179	1598
442	12205	1570
443	12231	1542
444	12257	1514
445	12296	1488
446	12323	1461
447	12349	1433
448	12375	1405
449	12401	1377
450	12427	1350
451	12457	1322
452	12484	1295
453	12511	1267
454	12537	1239
455	12564	1212
456	12592	1184
457	12619	1157
458	12645	1129
459	12673	1102
460	12700	1074
461	12732	1047
462	12758	1019
463	12786	992
464	12812	964
465	12840	936
466	12867	909
467	12893	881
468	12921	854
469	12947	826
470	12976	798
471	13003	771
472	13030	743
473	13057	716
474	13084	688
475	13110	661
476	13137	633
477	13163	605
478	13190	578
479	13216	550
480	13244	523
481	13271	495
482	13299	468
483	13324	440
484	13351	412
485	13382	385
486	13409	357
487	13454	330
488	13482	303
489	13510	275
490	13537	248
491	13566	220
492	13592	192
493	13620	165
494	13647	137
495	13678	110
496	13711	82
497	13745	55
498	13771	27
499	13800	0
